SUPER 6;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Kalenderwoche 2013;;;;;;;;;;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;Klasse I;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;;;;;;;;;;;;;
KW;2013;Ziehung;Gewinnzahl;;;;;End-;Spieleinsatz;100.000,00 Euro;6.666,00 Euro;666,00 Euro;66,00 Euro;6,00 Euro;2,50 Euro;;;;;;;;;;;;;
;;;;;;;;ziffer;Euro;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;;;;;;;;;;;;;
;12.10.;SA;9;0;7;7;9;4;6.370.692,50   ;8  x   ;41  x   ;394  x   ;4.061  x   ;41.071  x   ;439.939  x   ;;;;;;;;;;;;;
42.;16.10.;MI;0;0;9;6;9;2;2.423.781,25   ;1  x   ;17  x   ;176  x   ;1.506  x   ;14.968  x   ;160.894  x   ;;;;;;;;;;;;;
;19.10.;SA;5;2;0;3;0;7;5.601.163,75   ;1  x   ;47  x   ;395  x   ;4.093  x   ;42.634  x   ;502.844  x   ;;;;;;;;;;;;;
43.;23.10.;MI;1;4;1;4;5;8;2.321.813,75   ;1  x   ;18  x   ;204  x   ;2.035  x   ;19.693  x   ;182.475  x   ;;;;;;;;;;;;;
;26.10.;SA;6;5;0;5;7;3;5.513.118,75   ;4  x   ;49  x   ;397  x   ;4.296  x   ;41.009  x   ;400.902  x   ;;;;;;;;;;;;;
44.;30.10.;MI;1;9;8;8;9;2;2.435.997,50   ;unbesetzt;13  x   ;132  x   ;1.598  x   ;15.153  x   ;161.866  x   ;;;;;;;;;;;;;
;02.11.;SA;1;4;2;5;2;7;5.747.352,50   ;3  x   ;76  x   ;514  x   ;5.186  x   ;52.198  x   ;506.340  x   ;;;;;;;;;;;;;
45.;06.11.;MI;3;5;6;5;5;7;2.681.707,50   ;2  x   ;20  x   ;233  x   ;2.258  x   ;24.010  x   ;235.425  x   ;;;;;;;;;;;;;
;09.11.;SA;3;7;9;8;1;8;6.248.560,00   ;2  x   ;46  x   ;490  x   ;5.274  x   ;49.653  x   ;516.446  x   ;;;;;;;;;;;;;
46.;13.11.;MI;0;2;4;1;0;3;3.015.067,50   ;2  x   ;21  x   ;190  x   ;2.052  x   ;19.339  x   ;238.371  x   ;;;;;;;;;;;;;
;16.11.;SA;8;1;0;9;4;2;6.652.273,75   ;2  x   ;47  x   ;464  x   ;4.600  x   ;45.169  x   ;443.262  x   ;;;;;;;;;;;;;
47.;20.11.;MI;8;1;3;7;2;2;2.448.823,75   ;1  x   ;15  x   ;172  x   ;1.697  x   ;17.719  x   ;164.431  x   ;;;;;;;;;;;;;
;23.11.;SA;1;8;8;1;0;1;5.662.746,25   ;3  x   ;28  x   ;294  x   ;3.036  x   ;30.701  x   ;343.003  x   ;;;;;;;;;;;;;
48.;27.11.;MI;2;0;2;9;7;7;2.470.521,25   ;2  x   ;23  x   ;240  x   ;2.519  x   ;27.894  x   ;211.720  x   ;;;;;;;;;;;;;
;30.11.;SA;5;8;2;2;0;2;5.903.901,25   ;1  x   ;42  x   ;361  x   ;3.595  x   ;34.906  x   ;404.489  x   ;;;;;;;;;;;;;
49.;04.12.;MI;1;5;9;2;8;1;2.903.361,25   ;1  x   ;10  x   ;169  x   ;1.811  x   ;17.743  x   ;178.302  x   ;;;;;;;;;;;;;
;07.12.;SA;2;7;7;3;8;7;6.465.031,25   ;8  x   ;50  x   ;574  x   ;5.481  x   ;55.067  x   ;573.641  x   ;;;;;;;;;;;;;
50.;11.12.;MI;2;7;9;9;8;4;3.036.626,25   ;2  x   ;15  x   ;200  x   ;2.092  x   ;20.452  x   ;207.802  x   ;;;;;;;;;;;;;
;14.12.;SA;7;2;8;1;4;4;6.739.741,25   ;5  x   ;47  x   ;492  x   ;4.616  x   ;47.261  x   ;465.643  x   ;;;;;;;;;;;;;
51.;18.12.;MI;1;2;6;7;8;5;3.686.300,00   ;4  x   ;21  x   ;290  x   ;2.865  x   ;29.169  x   ;300.000  x   ;;;;;;;;;;;;;
;21.12.;SA;1;1;2;8;8;8;6.298.371,25   ;13  x   ;71  x   ;693  x   ;7.463  x   ;52.460  x   ;513.490  x   ;;;;;;;;;;;;;
52.;25.12.;MI;6;8;2;7;8;5;2.769.813,75   ;2  x   ;28  x   ;238  x   ;2.345  x   ;22.390  x   ;233.349  x   ;;;;;;;;;;;;;
;28.12.;SA;3;3;1;3;8;3;6.031.950,00   ;7  x   ;52  x   ;416  x   ;4.374  x   ;43.168  x   ;441.465  x   ;;;;;;;;;;;;;
;;;;;;;Gewinne Gesamt;;;181   ;1.678   ;16.663   ;167.735   ;1.664.433   ;16.655.288   ;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
